Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
עונד,עוֹנֵד,‘oned,"puts on, wears (ring) (m,s)",6
טבעת,טַבַּעַת,tabba‘at,"ring, circle",8
כפפה,כְּפָפָה,kfafa,glove,8
משקפי שמש,מִשְׁקְפֵי שֶׁמֶשׁ,mishqᵉfei shemesh,sunglasses,18
מכנסיים,מִכְנָסַיִם,mikhnasayim,pants / trousers,11
בגדים,בְּגָדִים,bgadim,clothes (p),9
חגורה,חֲגוֹרָה,ḥagora,belt,8
חובשים,חוֹבְשִׁים,ḥovshim,"puts on, wears (headgear) (m,p)",10
חובש,חוֹבֵשׁ,ḥovesh,"puts on, wears (headgear) (m,s)",7
כובעים,כּוֹבָעִים,kova‘im,"hats, caps",10
חליפה,חֲלִיפָה,ḥalifa,suit,8
חובשת,חוֹבֶשֶׁת,ḥoveshet,"puts on, wears (headgear) (f,s)",9
כובע,כּוֹבַע,kova‘,"hat, cap",7
נועל,נַעַל,na‘al,shoe,5
נעליים,נַעְלַיִם,na‘layim,shoes,9
נועלת,נוֹעֶלֶת,no‘elet,"puts on, wears (shoes) (f,s)",8
נעל,נַעַל,na‘al,shoe,5
מעיל,מְעִיל,mᵉ‘il,"coat, cloak",6
לובשים,לוֹבְשִׁים,lovshim,"puts on, wears (m,p)",10
לובשת,לוֹבֶשֶׁת,loveshet,"puts on, wears (f,s)",9
שמלה,שִׂמְלָה,simla,dress,8
שמלות,שְׂמָלוֹת,sᵉmalot,dresses,9
חולצות,חֻלְצוֹת,ḥultzot,shirts,8
מעילים,מְעִילִים,mᵉ‘ilim,"coats, cloaks",9
עובר,עוֹבֵר,‘over,"passes, overtakes (m,s)",6
שרה,שָׂרָה‎,sara‎,Sarah (name),7
חוזר,חוֹזֵר,ḥozer,"returns, repeats (על) (m,s)",6
שומרים,שׁוֹמְרִים,shomrim,"guards, watches (m,p)",10
כותבים,כּוֹתְבִים,kotvim,"writes (m,p)",10
עונֶה,עוֹנֶה,‘one,"answers, replies (m,s)",6
שולחת,שׁוֹלַחַת,sholaḥat,"sends (f,s)",9
רוקדת,רוֹקֶדֶת,roqedet,"dances (f,s)",8
כועסים,כּוֹעֲסִים,ko‘asim,"angry (m,p)",10
חושבים,חוֹשְׁבִים,ḥoshvim,"thinks (m,p)",10
נותנים,נוֹתְנִים,notnim,"gives, allows (m,p)",9
שוחֶה,שׂוֹחֶה,soḥe,"swims (m,s)",7
שוחָה,שׂוֹחָה,soḥa,"swims (f,s)",7
שוחים,שׂוֹחִים,soḥim,"swimming (m,p)",8
שוחות,שׂוֹחוֹת,soḥot,"swimming (f,p)",8
שומעת,שׁוֹמַעַת,shoma‘at,"hears, listens (f,s)",9
בורח,בּוֹרֵחַ,boreaḥ,"escape, run away (m,s)",8
שובר,שׁוֹבֵר,shover,"breaks (m,s)",7
עונים,עוֹנִים,‘onim,"answers, replies (m,p)",7
מכיר,מַכִּיר,makkir,"knows (recognizes), acquaints (m,s)",7
הופך,הוֹפֵךְ,hofekh,"turns over / turn into (ל-) (m,s)",7
הופכת,הוֹפֶכֶת,hofekhet,"turns over / turn into (ל-) (f,s)",8
מכירה,מַכִּירָה,makkira,"knows (recognizes), acquaints (f,s)",9
עונות,עוֹנוֹת,‘onot,"answers, replies (f,p)",7
גונבים,גּוֹנְבִים,gonvim,"steals (m,p)",10
הופכים,הוֹפְכִים,hofkhim,"turns over / turn into (ל-) (m,p)",9
שוברים,שׁוֹבְרִים,shovrim,"break (m,p)",10
שוברת,שׁוֹבֶרֶת,shoveret,"breaks (f,s)",9
גונבת,גּוֹנֶבֶת,gonevet,"steals (f,s)",9
בורחים,בּוֹרְחִים,borḥim,"escape, run away (m,p)",10
גונב,גּוֹנֵב,gonev,"steals (m,s)",7
שוכרת,שׂוֹכֶרֶת,sokheret,"rent / hire (f,s)",9
בודקים,בּוֹדְקִים,bodqim,"checks, examines (m,p)",10
יוצא,יוֹצֵא,yotze’,"exits, goes out (m,s)",6
בוהֶה,בּוֹהֶה,bohe,"stares (m,s)",7
שוכר,שׂוֹכֵר,sokher,"rent / hire (m,s)",7
יוצאת,יוֹצֵאת,yotze’t,"exits, goes out (f,s)",7
בודק,בּוֹדֵק,bodeq,"checks, examines (m,s)",7
בוהות,בּוֹהוֹת,bohot,"stares (f,s)",8
בודקת,בּוֹדֶקֶת,bodeqet,"checks, examines (f,s)",9
יוצאות,יוֹצְאוֹת,yotz’ot,"exits, goes out (f,p)",9
צופים,צוֹפִים,tzofim,"observes, predicts, watches (m,p)",7
שולח,שׁוֹלֵחַ,sholeaḥ,"sends (m,s)",8
צופֶה,צוֹפֶה,tzofe,"watches, observes, predicts (m,s)",6
שולחים,שׁוֹלְחִים,sholḥim,"sends (m,p)",10
בוהים,בּוֹהִים,bohim,"stares (m,p)",8
גדל,גָּדֵל,gadel,"grows, increases (m,s)",6
גדלה,גְּדֵלָה,gdela,"grows, increases (f,s)",8
יוצר,יוֹצֵר,yotzer,"creates (m,s)",6
שוכחים,שׁוֹכְחִים,shokhḥim,"forgets (m,p)",10
גדלים,גְּדֵלִים,gdelim,"grows, increases (m,p)",9
עומדים,עוֹמְדִים,‘omdim,"stands (m,p)",9
חותכת,חוֹתֶכֶת,ḥotekhet,"cuts, slashes (f,s)",8
יושבות,יוֹשְׁבוֹת,yoshvot,"sits (f,p)",10
שוכח,שׁוֹכֵחַ,shokheaḥ,"forgets (m,s)",8
עומדת,עוֹמֶדֶת,‘omedet,"stands (f,s)",8
עומד,עוֹמֵד,‘omed,"stands (m,s)",6
יוצרת,יוֹצֶרֶת,yotzeret,"creates (f,s)",8
יושבים,יוֹשְׁבִים,yoshvim,"sits (m,p)",10
יוצרים,יוֹצְרִים,yotzrim,"creating (m,p)",9
יושב,יוֹשֵׁב,yoshev,"sits (m,s)",7
שוקל,שׁוֹקֵל,shoqel,"weighs, considers, ponders (m,s)",7
חותם,חוֹתֵם,ḥotem,"signs, seals, finishes (m,s)",6
רוקד,רוֹקֵד,roqed,"dances (m,s)",6
שוקלים,שׁוֹקְלִים,shoqlim,"weighs, considers, ponders (m,p)",10
עוזר,עוֹזֵר,‘ozer,"helps, assists, aids (m,s)",6
עוזבים,עוֹזְבִים,‘ozvim,"leaves, abandons (m,p)",9
שונא,שׂוֹנֵא,sone’,"hates, abhors (m,s)",7
שונאים,שׂוֹנְאִים,son’im,"hates, abhors (m,p)",10
עוזרים,עוֹזְרִים,‘ozrim,"helps, assists, aids (m,p)",9
עוזב,עוֹזֵב,‘ozev,"leaves, abandons (m,s)",6
שונאת,שׂוֹנֵאת,sone’t,"hates, abhors (f,s)",8
עוזרת,עוֹזֶרֶת,‘ozeret,"helps, assists, aids (f,s)",8
רוקדים,רוֹקְדִים,roqdim,"dances (m,p)",9
עוזבת,עוֹזֶבֶת,‘ozevet,"leaves, abandons (f,s)",8
רצים,רָצִים,ratzim,"runs (m,p)",6
זוכרים,זוֹכְרִים,zokhrim,"remembers (m,p)",9
נחים,נָחִים,naḥim,"rests (m,p)",6
נח,נָח,naḥ,"rests (m,s)",3
עובר,עוֹבֵר,‘over,"passes, overtakes (m,s)",6
כוללים,כּוֹלְלִים,kollim,"includes (m,p)",10
רץ,רָץ,ratz,"runs (m,s)",3
שרות,שָׁרוֹת,sharot,"sing (f,p)",7
זוכר,זוֹכֵר,zokher,"remembers (m,s)",6
שר,שָׁר,shar,"sing (m,s)",4
עוברת,עוֹבֶרֶת,‘overet,"passes, overtakes (f,s)",8
רצות,רָצוֹת,ratzot,"runs (f,p)",6
זוכרת,זוֹכֶרֶת,zokheret,"remembers (f,s)",8
עוברים,עוֹבְרִים,‘ovrim,"passes, overtakes (m,p)",9
כולל,כּוֹלֵל,kolel,"includes (m,s)",7
חושבת,חוֹשֶׁבֶת,ḥoshevet,"thinks (f,s)",9
חושב,חוֹשֵׁב,ḥoshev,"thinks (m,s)",7
הולכים,הוֹלְכִים,holkhim,"walks, goes (m,p)",9
חוזרת,חוֹזֶרֶת,ḥozeret,"returns, repeats (על) (f,s)",8
לומד,לוֹמֵד,lomed,"learns, studies (m,s)",6
שומרת,שׁוֹמֶרֶת,shomeret,"guards, watches (f,s)",9
לומדים,לוֹמְדִים,lomdim,"learns, studies (m,p)",9
שומר,שׁוֹמֵר,shomer,"guards, watches (m,s)",7
חוזרים,חוֹזְרִים,ḥozrim,"returns, repeats (על) (m,p)",9
קוראים,קוֹרְאִים,qor’im,"read / call (m,p)",9
לומדת,לוֹמֶדֶת,lomedet,"learns, studies (f,s)",8
הולכות,הוֹלְכוֹת,holkhot,"walks, goes (f,p)",9
כועס,כּוֹעֵס,ko‘es,"angry (m,s)",7
כועסת,כּוֹעֶסֶת,ko‘eset,"angry (f,s)",9
כואב,כּוֹאֵב,ko’ev,"aches, hurts (m,s)",7
רושם,רוֹשֵׁם,roshem,"notes, registers, draws, sketches (m,s)",7
רושמת,רוֹשֶׁמֶת,roshemet,"notes, registers, draws, sketches (f,s)",9
קונֶה,קוֹנֶה,qone,"buys, purchases (m,s)",6
קונָה,קוֹנָה,qona,"buys, purchases (f,s)",6
קונים,קוֹנִים,qonim,"buy, purchase (m,p)",7
קונות,קוֹנוֹת,qonot,"buy, purchase (f,p)",7
רושמים,רוֹשְׁמִים,roshmim,"notes, registers, draws, sketches (m,p)",10
נותן,נוֹתֵן,noten,"gives, allows (m,s)",6
סוגרים,סוֹגְרִים,sogrim,"closes, shuts, turns off (m,p)",9
מוכרים,מוֹכְרִים,mokhrim,"sells (m,p)",9
מוכר,מוֹכֵר,mokher,"sells (m,s)",6
פותח,פּוֹתֵחַ,poteaḥ,"opens (m,s)",8
פותחת,פּוֹתַחַת,potaḥat,"opens (f,s)",9
פותחים,פּוֹתְחִים,potḥim,"opens (m,p)",10
פותחות,פּוֹתְחוֹת,potᵉḥot,"opens (f,p)",10
סוגר,סוֹגֵר,soger,"closes, shuts, turns off (m,s)",6
עובדים,עוֹבְדִים,‘ovdim,"works, operates, functions (m,p)",9
עושֶה,עוֹשֶׂה,‘ose,"does (m,s)",7
עושָה,עוֹשָׂה,‘osa,"does (f,s)",7
לוקחת,לוֹקַחַת,loqaḥat,"takes (f,s)",8
מוצאת,מוֹצֵאת,motze’t,"finds (f,s)",7
יודע,יוֹדֵעַ,yodea‘,"knows (m,s)",7
תומכים,תּוֹמְכִים,tomkhim,"supports, sustains (m,p)",10
תומך,תּוֹמֵךְ,tomekh,"supports, sustains (m,s)",8
לוקח,לוֹקֵחַ,loqeaḥ,"takes (m,s)",7
מוצאים,מוֹצְאִים,motz’im,"finds (m,p)",9
עובד,עוֹבֵד,‘oved,"works, operates, functions (m,s)",6
מוצא,מוֹצֵא,motze’,"finds (m,s)",6
תומכת,תּוֹמֶכֶת,tomekhet,"supports, sustains (f,s)",9
ישנים,יְשָׁנִים,yᵉshanim,"old (m,p)",9
אומרת,אוֹמֶרֶת,’omeret,"says, tells (f,s)",8
ישנה,יְשֵׁנָה,yᵉshena,"sleep (f,s)",8
נוגעים,נוֹגְעִים,nog‘im,"touches (m,p)",9
נוגע,נוֹגֵעַ,nogea‘,"touches (m,s)",7
כותבות,כּוֹתְבוֹת,kotvot,"writes (f,p)",10
כותב,כּוֹתֵב,kotev,"writes (m,s)",7
לישון,לִישׁוֹן,lishon,to sleep,8
כותבת,כּוֹתֶבֶת,kotevet,"writes (f,s)",9
שומעים,שׁוֹמְעִים,shom‘im,"hear, listens (m,p)",10
אומר,אוֹמֵר,’omer,"says, tells (m,s)",6
שומע,שׁוֹמֵעַ,shomea‘,"hears, listens (m,s)",8
אומרים,אוֹמְרִים,’omrim,"says, tells (m,p)",9
צובע,צוֹבֵעַ,tzovea‘,"colors (m,p)",7
כחולים,כְּחֻלִּים,kḥullim,"blue (m,p)",10
סגולה,סְגֻלָּה,sgulla,"purple,violet (f,s)",8
צבעוני,צִבְעוֹנִי,tziv‘oni,"colourful (m,s)",10
צבעונית,צִבְעוֹנִית,tziv‘onit,"colourful (f,p)",11
צבעוניים,צִבְעוֹנִיִּים,tziv‘oniyyim,"colourful (m,p)",14
צבעוניות,צִבְעוֹנִיּוֹת,tziv‘oniyyot,"colourful (f,p)",14
שחורה,שְׁחֹרָה,shḥora,"black (f,s)",8
אדום,אָדֹם,’adom,"red (m,s)",5
סגולים,סְגֻלִּים,sgullim,"purple,violet (m,p)",9
אפורה,אֲפֹרָה,’afora,"grey (f,s)",7
צבע,צֶבַע,tzeva‘,"paints, colours, tints (m,s)",5
חום,חוּם,ḥum,"brown (m,s)",4
סגול,סָגֹל,sagol,"purple,violet (m,s)",5
לצבוע,לִצְבֹּעַ,litzboa‘,"to paint, to color",9
צובעת,צוֹבַעַת,tzova‘at,"paints, colours, tints (f,s)",8
ורוד,וָרֹד,varod,"pink (m,s)",5
ורודים,וְרֻדִּים,vruddim,"pink (m,p)",9
צבעוניים,צִבְעוֹנִיִּים,tziv‘oniyyim,"colourful (m,p)",14
ירוקים,יְרֻקִּים,yᵉruqqim,"green (m,p)",9
אדומה,אֲדֻמָּה,’adumma,"red (f,s)",8
אדומים,אֲדֻמִּים,’adummim,"red (m,p)",9
שחורים,שְׁחֹרִים,shḥorim,"black (m,p)",9
כחול,כָּחֹל,kaḥol,"blue (m,s)",6
צהוב,צָהֹב,tzahov,"yellow (m,s)",5
צהובים,צְהֻבִּים,tzhubbim,"yellow (m,p)",9
כתום,כָּתֹם,katom,"orange (colour) (m,s)",6
ירוק,יָרֹק,yaroq,"green (m,s)",5
שחור,שָׁחֹר,shaḥor,"black (m,s)",6
לבן,לָבָן,lavan,"white (m,s)",5
כתומים,כְּתֻמִּים,ktummim,"orange (colour) (m,p)",10
בשבילנו,בִּשְׁבִילֵנוּ,bishvilenu,for us,14
איתה,אִתָּהּ,’ittah,with her,7
בנו,בָּנוּ,banu,in us,6
לידנו,לְיָדֵנוּ,lᵉyadenu,near us,9
בשבילו,בִּשְׁבִילוֹ,bishvilo,for him,12
בתוכו,בְּתוֹכוֹ,btokho,inside him,9
בתוכנו,בְּתוֹכֵנוּ,btokhenu,inside us,11
מאיתנו,מֵאִתָּנוּ ,me’ittanu,from us,11
בתוכי,בְּתוֹכִי,btokhi,inside me,9
בו,בּוֹ,bo,in him,4
נגדנו,נֶגְדֵנוּ,negdenu,against us,9
עם,עִם,‘im,with,3
בה,בָּהּ,bah,in her,5
לידה,לְיָדָהּ,lᵉyadah,near her,8
בי,בִּי,bi,in me,4
נגדה,נֶגְדָהּ,negdah,against her,8
לידו,לְיָדוֹ,lᵉyado,near him,7
לידי,לְיָדִי,lᵉyadi,near me,7
איתי,אִתִּי,’itti,with me,6
בתוכה,בְּתוֹכָהּ,btokhah,inside her,10
בשבילה,בִּשְׁבִילָהּ,bishvilah,for her,13
ממנה,מִמֶּנָּה,mimmenna,from her,9
ממנו,מִמֶּנּוּ,mimmennu,from him,9
איתנו,אִתָּנוּ,’ittanu,with us,8
בשבילי,בִּשְׁבִילִי,bishvili,for me,12
נגדי,נֶגְדִי,negdi,against me,7
נגדו,נֶגְדוֹ,negdo,against him,7
ממני,מִמֶּנִּי,mimmenni,from me,9
איתו,אִתּוֹ,’itto,with him,6
מהעיתון,מֵהָעִיתוֹן,meha‘iton,from the newspaper,11
לידן,לְיָדָן,lᵉyadan,near them (f),7
מכן,מִכֶּן,mikken,"from you (f,p)",6
נגדךְ,נֶגְדֵךְ,negdekh,"against you (f,s)",8
נגד,נֶגֶד,neged,against,5
נגדכן,נֶגְדְכֶן,negdᵉkhen,"against you (f,p)",9
נגדם,נֶגְדָם,negdam,against them (m),7
נגדכם,נֶגְדְכֶם,negdᵉkhem,"against you (m,p)",9
נגדךָ,נֶגְדְךָ,negdᵉkha,"against you (m,s)",8
נגדן,נֶגְדָן,negdan,against them (f),7
בתוכךָ,בְּתוֹכְךָ,btokhkha,"inside you (m,s)",10
בתוככם,בְּתוֹכְכֶם,btokhkhem,"inside you (m,p)",11
בתוך,בְּתוֹךְ,btovkh,inside,8
בתוככן,בְּתוֹכְכֶן,btokhkhen,"inside you (f,p)",11
בתוכן,בְּתוֹכָן,btokhan,inside them (f),9
בתוכךְ,בְּתוֹכֵךְ,btokhekh,"inside you (f,s)",10
בתוכם,בְּתוֹכָם,btokham,inside them (m),9
לידכן,לְיַדְכֶן,lᵉyadkhen,"near you (f,p)",9
לידךָ,לְיָדְךָ,lᵉyadkha,"near you (m,s)",8
לידךְ,לְיָדֵךְ,lᵉyadekh,"near you (f,s)",8
לידם,לְיַדְכֶם,lᵉyadkhem,"near you (m,p)",9
לידכם,לְיָדָם,lᵉyadam,near them (m),7
ליד,לְיַד,lᵉyad,"near to, next to",5
בשבילכן,בִּשְׁבִילְכֶן,bishvilᵉkhen,"for you (f,p)",14
בשבילכם,בִּשְׁבִילְכֶם,bishvilᵉkhem,"for you (m,p)",14
בשביל,בִּשְׁבִיל,bishvil,"for, for the sake of",10
בשבילם,בִּשְׁבִילָם,bishvilam,for them (m),12
בשבילךָ,בִּשְׁבִילְךָ,bishvilᵉkha,"for you (m,s)",13
בשבילךְ,בִּשְׁבִילֵךְ,bishvilekh,"for you (f,s)",13
בשבילן,בִּשְׁבִילָן,bishvilan,for them (f),12
איתכם,אִתְּכֶם,’itkhem,"with you (m,p)",8
איתם,אִתָּם,’ittam,with them (m),6
איתכן,אִתְּכֶן,’itkhen,"with you (f,p)",8
איתךְ,אִתָּךְ,’itakh,"with you (f,s)",7
איתן,אִתָּן,’ittan,with them (f),6
איתךָ,אִתְּךָ,’itkha,"with you (m,s)",7
מאבא,מֵאָבָא,me’ava’,from my father,7
מהן,מֵהֶן,mehen,from them (f),5
מהם,מֵהֶם,mehem,from them (m),5
ממךָ,מִמְּךָ,mimᵉkha,"from you (m,s)",7
ממךְ,מִמֵּךְ,mimekh,"from you (f,s)",7
מכם,מִכֶּם,mikkem,"from you (m,p)",6
בהן,בָּהֶן,bahen,in them (f),6
בכם,בָּכֶם,bakhem,"in you (m,p)",6
בכן,בָּכֶן,bakhen,"in you (f,p)",6
בךְ,בָּךְ,bakh,"in you (f,s)",5
בהם,בָּהֶם,bahem,in them (m),6
בךָ,בְּךָ,bkha,"in you (m,s)",5
בבקבוק,בַּבַּקְבּוּק,babaqbuq,in the bottle,13
פחות,פָּחוֹת,paḥot,less,7
אחד,אֶחָד,’eḥad,one (m),5
יותר,יוֹתֵר,yoter,more,6
אחת,אַחַת,’aḥat,one (f),5
מדי,מִדַּי,midday,too,6
הרבה,הַרְבֵּה,harbe,a lot,8
תשעה עשר,תִּשְׁעָה עָשָׂר,tish‘a ‘asar,nineteen (m),16
אפס,אֶפֶס,’efes,zero,5
שמונה עשר,שְׁמוֹנָה עָשָׂר,shmona ‘asar,eighteen (m),16
שמונה עשרה,שְׁמוֹנֶה עֶשְׂרֵה,shmone ‘esre,eighteen (f),18
עשרים,עֶשְׂרִים,‘esrim,twenty,9
תשע עשרה,תְּשַׁע עֶשְׂרֵה,tsha‘ ‘esre,nineteen (f),16
שישה עשר,שִׁשָּׁה עָשָׂר,shishsha ‘asar,sixteen (m),15
שש עשרה,שֵׁשׁ עֶשְׂרֵה,shesh ‘esre,sixteen (f),14
חמישה עשר,חֲמִישָׁה עָשָׂר,ḥamisha ‘asar,fifteen (m),16
חמש עשרה,חֲמֵשׁ עֶשְׂרֵה,ḥamesh ‘esre,fifteen (f),15
שבע עשרה,שְׁבַע עֶשְׂרֵה,shva‘ ‘esre,seventeen (f),15
שבעה עשר,שִׁבְעָה עָשָׂר,shiv‘a ‘asar,seventeen (m),15
שלושה עשר,שְׁלוֹשָׁה עָשָׂר,shlosha ‘asar,thirteen (m),17
ארבעה עשר,אַרְבָּעָה עָשָׂר,’arba‘a ‘asar,fourteen (m),17
שתיים עשרה,שְׁתֵּים עֶשְׂרֵה,shteim ‘esre,twelve (f),17
שניים עשר,שְׁנֵים עָשָׂר,shneim ‘asar,twelve (m),14
ארבע עשרה,אַרְבַּע עֶשְׂרֵה,’arba‘ ‘esre,fourteen (f),17
שלוש עשרה,שְׁלוֹשׁ עֶשְׂרֵה,shlosh ‘esre,thirteen (f),17
אחת עשרה,אַחַת עֶשְׂרֵה,’aḥat ‘esre,eleven (f),14
תשעה,תִּשְׁעָה,tish‘a,nine (m),9
עשר,עֶשֶׂר,‘eser,ten (f),6
עשרה,עֲשָׂרָה,‘asara,ten (m),8
אחד עשר,אַחַד עָשָׂר,’aḥad ‘asar,eleven (m),12
תשע,תֵּשַׁע,tesha‘,nine (f),7
מספר,מִסְפָּר,mispar,number,8
שמונֶה,שְׁמוֹנֶה,shmone,eight (f),9
שש,שֵׁשׁ,shesh,six (f),5
שמונָה,שְׁמוֹנָה,shmona,eight (m),9
שישה,שִׁשָּׁה,shishsha,six (m),8
שבע,שֶׁבַע,sheva‘,seven (f),6
שבעה,שִׁבְעָה,shiv‘a,seven (m),8
ארבעה,אַרְבָּעָה,’arba‘a,four (m),10
חמישה,חֲמִשָּׁה,ḥamishsha,five (m),9
חמש,חָמֵשׁ,ḥamesh,five (f),6
ארבע,אַרְבַּע,’arba‘,four (f),8
שלושה,שְׁלוֹשָׁה,shlosha,three (m),10
שלוש,שָׁלוֹשׁ,shalosh,three (f),8
שתי,שְׁתֵּי,shtei,two (f),7
שני,שְׁנֵי,shnei,two (m),6
שתיים,שְׁתַּיִים,shtayim,two (f),10
סופרים,סוֹפְרִים,sofrim,"counts (m,p)",9
שניים,שְׁנַיִים,shnayim,two (m),9
סופר,סוֹפֵר,sofer,"counts (m,s)",6
למה,לַמָּה,lamma,why,6
מי,מִי,mi,who,3
למי,לְמִי,lᵉmi,to whom,5
מה,מַה,mah,what,3
אילו,אֵילוּ,’eilu,which (p),6
לאן,לְאָן,lᵉ’an,where to,5
של מי,שֶׁל מִי,shel mi,whose,8
איזו,אֵיזוֹ,’eizo,"which (f,s)",6
איזה,אֵיזֶה,’eize,"which (m,s)",6
ממי,מִמִּי,mimmi,from whom,6
מתי,מָתַי,matay,when,5
איפה,אֵיפֹה,’eifoh,where,6
את מי,אֵת מִי,’et mi,whom,7
איך,אֵיךְ,’eykh,how,5
כמה,כַּמָּה,kamma,"how many, how much, fewת some",7
בשביל מה,בִּשְׁבִיל מַה,bishvil mah,for what,14
עם מי,עִם מִי,‘im mi,with whom,7
תשובה,תְּשׁוּבָה,tshuva,"answer, reply, solution",10
עונים,עוֹנִים,‘onim,"answers, replies (m,p)",7
שואלת,שׁוֹאֶלֶת,sho’elet,"asks (f,s)",9
לשאול,לִשְׁאוֹל,lish’ol,"to ask, to borrow",9
שואלים,שׁוֹאֲלִים,sho’alim,"ask (m,p)",10
שואל,שׁוֹאֵל,sho’el,"asks (m,s)",7
עונֶה,עוֹנֶה,‘one,"answers, replies (m,s)",6
שאלה,שְׁאֵלָה,sh’ela,question,8
שאלות,שְׁאֵלוֹת,sh’elot,questions,9
באיזה,בְּאֵיזֶה,b’eize,"in which (m,s)",9
מאיפה,מֵאֵיפֹה,me’eifoh,from where,9
הזאת,הַזּאֹת,hazz’ot,this (definite) (f),7
שומעים,שׁוֹמְעִים,shom‘im,"hear, listens (m,p)",10
אלה,אֵלֶה,’ele,these (formal),5
אוכלים,אוֹכְלִים,’okhlim,"eats (m,p)",9
מדברים,מְדַבְּרִים,mᵉdabrim,"speaking (m,p)",11
הזה,הַזֶּה,hazze,this (definite) (m),6
אלו,אֵלּוּ,’ellu,these (informal),6
כזה,כָּזֶה,kaze,like this,6
עושים,עוֹשִׂים,‘osim,"do(es), makes, creates (m,p)",8
אומרים,אוֹמְרִים,’omrim,"says, tells (m,p)",9
ככה,כָּכָה,kakha,"so, thus, this way",6
אותם,אוֹתָם,’otam,"them (m,p)",6
אף אחד,אַף אֶחָד,’af ’eḥad,nobody,9
מספר,מִסְפָּר,mispar,number,8
דבר,דָּבָר,davar,thing,6
הכל,הַכֹּל,hakkol,"everything, all",6
אותו,אוֹתוֹ,’oto,"him (m,s)",6
אחר,אַחֵר,’aḥer,"other, another, diffferent (m,s)",5
מישהו,מִישֶׁהוּ,mishehu,"someone, somebody",9
שני,שְׁנֵי,shnei,two (m),6
שתי,שְׁתֵּי,shtei,two (f),7
כלום,כְּלוּם,klum,nothing,7
